,Feature,Variance,Pass_Variance,Target_Correlation,Pass_Correlation,F_Score,P_Value,Adjusted_P_Value,Pass_Significance,Selected,Original_Order
77,Net Income to Total Assets,1.0001833516685004,True,0.30879812387553246,True,574.7873900353453,7.5731387109155936e-121,4.3166890652218884e-119,True,True,32
33,Debt ratio %,1.0001833516685004,True,0.239760442758824,True,332.58474345900356,3.543327934010383e-72,1.0098484611929592e-70,True,True,9
32,Total debt/Total net worth,1.0001833516685,True,0.22065440508798198,True,279.08589897106225,3.85019924143865e-61,7.315378558733436e-60,True,True,8
16,Persistent EPS in the Last Four Seasons,1.0001833516685004,True,0.20406170442787325,True,236.93562925393724,2.2830395826872847e-52,3.253331405329381e-51,True,True,3
81,Net Income to Stockholder's Equity,1.0001833516685006,True,0.19431484466057283,True,213.97511325369697,1.4704182305536823e-47,1.6762767828311978e-46,True,True,33
48,Working Capital to Total Assets,1.0001833516685004,True,0.18490639428479994,True,193.04023076415274,3.725500068908091e-43,3.5392250654626865e-42,True,True,15
75,Current Liability to Current Assets,1.0001833516685001,True,0.16439591307131401,True,151.46639990996223,2.3598737710626057e-34,1.9216114992938363e-33,True,True,30
14,Net Value Per Share (A),1.0001833516685001,True,0.1583488612547608,True,140.24710180690272,5.777189133384802e-32,4.116247257536672e-31,True,True,2
59,Working Capital/Equity,1.0001833516685004,True,0.15573774167333315,True,135.545958292004,5.814279462826528e-31,3.682376993123468e-30,True,True,21
70,Equity to Long-term Liability,1.0001833516685004,True,0.14359642074771117,True,114.80781890186168,1.5899000581086483e-26,9.062430331219296e-26,True,True,25
64,Total expense/Assets,1.0001833516685001,True,0.14243887340900566,True,112.92614412509002,4.027794530192141e-26,2.0871298929177456e-25,True,True,23
40,Inventory and accounts receivable/Net value,1.0001833516685001,True,0.11493701185504512,True,73.00133285973142,1.6615730618129195e-17,7.892472043611367e-17,True,True,11
61,Long-term Liability to Current Assets,1.0001833516685004,True,0.1085976604739183,True,65.07717755551768,8.783709107575566e-16,3.85131860870621e-15,True,True,22
73,CFO to Assets,1.0001833516685001,True,0.10802384925820158,True,64.38318305250479,1.2440646465001877e-15,5.06512034646505e-15,True,True,28
12,Tax rate (A),1.0001833516685006,True,0.10050808291126506,True,55.64766868348736,1.0032879188797849e-13,3.8124940917431826e-13,True,True,1
76,Liability-Assets Flag,1.0001833516685,True,0.09947215618140985,True,54.49506570508212,1.7928973300847888e-13,6.38719673842706e-13,True,True,31
46,Operating profit per person,1.0001833516685001,True,0.09253569720037774,True,47.096530486564156,7.508426204794557e-12,2.5175311392546455e-11,True,True,13
51,Cash/Total Assets,1.0001833516685001,True,0.09227164876809481,True,46.82583153483544,8.610357792380127e-12,2.7266133009203735e-11,True,True,18
47,Allocation rate per person,1.0001833516685004,True,0.08567394633881607,True,40.321114761801574,2.329042209179223e-10,6.987126627537669e-10,True,True,14
3,Operating Gross Margin,1.0001833516685001,True,0.08471669158517124,True,39.41863726484002,3.6845539901898625e-10,1.050097887204111e-09,True,True,0
37,Contingent liabilities/Net worth,1.0001833516685001,True,0.08050305783799463,True,35.570007933655276,2.6151462522310497e-09,7.098254113198564e-09,True,True,10
74,Cash Flow to Equity,1.0001833516685001,True,0.07981953548434362,True,34.964691492119634,3.5613197274438528e-09,9.227055657468165e-09,True,True,29
86,Equity to Liability,1.0001833516685004,True,0.07540509893554062,True,31.182673002718563,2.462098695517328e-08,6.101722854108162e-08,True,True,34
55,Operating Funds to Liability,1.0001833516685004,True,0.07526770476917809,True,31.06849499835149,2.6103921736587462e-08,6.199681412439523e-08,True,True,20
49,Quick Assets/Total Assets,1.0001833516685004,True,0.07319422601465661,True,29.371226673191128,6.23253133016237e-08,1.4210171432770204e-07,True,True,16
71,Cash Flow to Total Assets,1.0001833516685001,True,0.072478387643462,True,28.796516692967305,8.371692003164095e-08,1.835332477616744e-07,True,True,26
17,Cash Flow Per Share,1.0001833516685004,True,0.06290168075990801,True,21.661161742541985,3.3301474331904246e-06,7.030311247846452e-06,True,True,4
67,Fixed Assets to Assets,1.0001833516685001,True,0.06073294900724371,True,20.1878044787197,7.164966326913243e-06,1.4585824308359103e-05,True,True,24
30,Quick Ratio,1.0001833516685004,True,0.06038690893689146,True,19.957570892339266,8.07801920717362e-06,1.5877486027892978e-05,True,True,7
41,Total Asset Turnover,1.0001833516685001,True,0.0578660064899992,True,18.320578571786747,1.8988021890047275e-05,3.6077241591089826e-05,True,True,12
53,Cash/Current Liability,1.0001833516685001,True,0.051396108269224264,True,14.442577315035713,0.00014607303772755102,0.00026858590807969055,True,True,19
72,Cash Flow to Liability,1.0001833516685001,True,0.048610030615552885,True,12.915603704882212,0.0003287314378007916,0.0005855528735826601,True,True,27
18,Revenue Per Share (Yuan ¥),1.0001833516685001,True,0.04321249681091375,True,10.201544856616938,0.0014112165265469977,0.0024375558185811778,True,True,5
50,Current Assets/Total Assets,1.0001833516685001,True,0.04013871929188354,True,8.799597014662746,0.003026043686957106,0.005073073239898678,True,True,17
23,After-tax Net Profit Growth Rate,1.0001833516685001,True,0.037319113734342255,True,7.60507342013018,0.005839814447439316,0.009510554957258315,True,True,6
43,Average Collection Days,1.0001833516685001,True,0.028388524842742843,True,4.398162709019487,0.03602360462451991,0.05703737398882319,False,False,-1
57,Inventory/Current Liability,1.0001833516685006,True,0.023498378286685655,True,3.0126671496283124,0.08267273701461865,0.12736070296846658,False,False,-1
44,Net Worth Turnover Rate (times),1.0001833516685001,True,0.018341872136446738,True,1.835138948518083,0.17557788512810865,0.263366827692163,False,False,-1
8,Non-industry income and expenditure/revenue,1.0001833516685004,True,0.017146579461281716,True,1.603681776682821,0.20543632103153,0.30025308458454386,False,False,-1
22,Operating Profit Growth Rate,1.0001833516685,True,0.015939347896965033,True,1.3857565796702878,0.2391743991631179,0.340823518807443,False,False,-1
27,Total Asset Return Growth Rate Ratio,1.0001833516685,True,0.01530931008649466,True,1.278346352839114,0.2582564549019767,0.35903946169299195,False,False,-1
78,Total assets to GNP price,1.0001833516685001,True,0.013580495793982583,True,1.0058815739584994,0.3159360140589409,0.42877030479427697,False,False,-1
83,Degree of Financial Leverage (DFL),1.0001833516685,True,0.012881077472959088,True,0.9049236682682623,0.3415070770376132,0.4526954277010221,False,False,-1
68,Current Liability to Liability,1.0001833516685001,True,0.010610188497760312,True,0.6139465887835512,0.43333973786927293,0.5613719331488308,False,False,-1
25,Continuous Net Profit Growth Rate,1.0001833516685004,True,0.010134245417931644,True,0.560096601893008,0.4542535994518313,0.5753878926389863,False,False,-1
7,After-tax net Interest Rate,1.0001833516685001,True,0.00828878334781968,True,0.37466826813004983,0.540496114169203,0.669745184948795,False,False,-1
35,Long-term fund suitability ratio (A),1.0001833516685006,True,0.006865789099334839,True,0.2570614115763328,0.6121667318761602,0.7319812978635827,False,False,-1
63,Total income/Total expense,1.0001833516685004,True,0.006784108551538412,True,0.2509811257470435,0.6164053034640696,0.7319812978635827,False,False,-1
45,Revenue per person,1.0001833516685006,True,0.005127896697578245,True,0.1433921752660424,0.7049464926123946,0.8200397975287039,False,False,-1
42,Accounts Receivable Turnover,1.0001833516685001,True,0.003965376004226647,True,0.08574544825891478,0.7696684072719557,0.8774219842900296,False,False,-1
84,Interest Coverage Ratio (Interest expense to EBIT),1.0001833516685001,True,0.002991247868829664,True,0.04879150203615617,0.8251879226448366,0.9067052182889278,False,False,-1
65,Working capitcal Turnover Rate,1.0001833516685001,True,0.002846403170600955,True,0.044180623987289454,0.8335257742813907,0.9067052182889278,False,False,-1
79,No-credit Interval,1.0001833516685001,True,0.0026808816552596816,True,0.03919168220474233,0.843076781917775,0.9067052182889278,False,False,-1
11,Interest-bearing debt interest rate,1.0001833516685004,True,0.0023993808868963697,True,0.03139325790800661,0.8593724648379859,0.9071153795512074,False,False,-1
21,Realized Sales Gross Profit Growth Rate,1.0001833516685004,True,0.0008010893634431902,True,0.0034994331950543977,0.952830017019207,0.9874783812744509,False,False,-1
